titles,Artists
Anti-Hero,Taylor Swift
Kill Bill,SZA
Unholy,Sam Smith & Kim Petras
I'm Good (Blue),David Guetta & Bebe Rexha
Creepin',"Metro Boomin, The Weeknd & 21 Savage"
Die For You,The Weeknd
Rich Flex,Drake & 21 Savage
As It Was,Harry Styles
Bad Habit,Steve Lacy
Something In The Orange,Zach Bryan
Golden Hour,JVKE
Under The Influence,Chris Brown
Cuff It,Beyonce
Made You Look,Meghan Trainor
You Proof,Morgan Wallen
Just Wanna Rock,Lil Uzi Vert
Rock And A Hard Place,Bailey Zimmerman
Thank God,Kane Brown With Katelyn Brown
Superhero (Heroes & Villains),"Metro Boomin, Future & Chris Brown"
Super Freaky Girl,Nicki Minaj
I Like You (A Happier Song),Post Malone Featuring Doja Cat
Shirt,SZA
Until I Found You,Stephen Sanchez
Lift Me Up,Rihanna
Tomorrow 2,GloRilla & Cardi B
Wait For U,Future Featuring Drake & Tems
Thought You Should Know,Morgan Wallen
Escapism,RAYE Featuring 070 Shake
"Going, Going, Gone",Luke Combs
Lavender Haze,Taylor Swift
Bebe Dame,Fuerza Regida X Grupo Frontera
Heart Like A Truck,Lainey Wilson
The Kind Of Love We Make,Luke Combs
Nobody Gets Me,SZA
She Had Me At Heads Carolina,Cole Swindell
Sunroof,Nicky Youre & dazy
Wait In The Truck,HARDY Featuring Lainey Wilson
Calm Down,Rema & Selena Gomez
I Ain't Worried,OneRepublic
What My World Spins Around,Jordan Davis
Vegas,Doja Cat
About Damn Time,Lizzo
Son Of A Sinner,Jelly Roll
Unstoppable,Sia
Victoria's Secret,Jax
Low,SZA
Whiskey On You,Nate Smith
Snooze,SZA
Sure Thing,Miguel
Fall In Love,Bailey Zimmerman
Blind,SZA
Star Walkin' (League Of Legends Worlds Anthem),Lil Nas X
Que Vuelvas,Carin Leon X Grupo Frontera
Hold Me Closer,Elton John & Britney Spears
Hotel Lobby (Unc And Phew),Quavo & Takeoff
Love Language,SZA
Romantic Homicide,d4vd
Tennessee Orange,Megan Moroney
Spin Bout U,Drake & 21 Savage
Pick Me Up,Gabby Barrett
What He Didn't Do,Carly Pearce
Bloody Mary,Lady Gaga
Half Of Me,Thomas Rhett Featuring Riley Green
Too Many Nights,Metro Boomin Featuring Don Toliver & Future
Forget Me,Lewis Capaldi
Circo Loco,Drake & 21 Savage
Handle On You,Parker McCollum
Freestyle,Lil Baby
No Se Va,Grupo Frontera
The Color Violet,Tory Lanez
Wild As Her,Corey Kent
Seek & Destroy,SZA
Down Home,Jimmie Allen
Snap,Rosa Linn
Gato de Noche,Nengo Flow & Bad Bunny
Shut Up My Moms Calling,Hotel Ugly
Here With Me,d4vd
Players,Coi Leray
La Bachata,Manuel Turizo
Ghost In The Machine,SZA Featuring Phoebe Bridgers
La Jumpa,Arcangel & Bad Bunny
One Thing At A Time,Morgan Wallen
Used,SZA Featuring Don Toliver
Open Arms,SZA Featuring Travis Scott
Special,SZA
Heyy,Lil Baby
Out In The Middle,Zac Brown Band
Love You Better,Future
Niagara Falls (Foot Or 2),"Metro Boomin, Travis Scott & 21 Savage"
California Breeze,Lil Baby
Bejeweled,Taylor Swift
Pussy & Millions,Drake & 21 Savage Featuring Travis Scott
Black,YoungBoy Never Broke Again
On BS,Drake & 21 Savage
Miss You,Oliver Tree & Robin Schulz
Ditto,NewJeans
That's What Tequila Does,Jason Aldean
Gone Girl,SZA
SOS,SZA
You Didn't,Brett Young
